city,mountain,realm
Dreadkeep,Darkclaw Summit,Sylvarithor
Thornhaven,Dreadcliff,Maelorn
Hightide,Mistspire,Xylandor
Rivenwood,Ironspire Mountain,Drakenaris
Ironvale,Bloodwatch Peak,Drakoria
Yewshade,Cloudspire Peak,Velarindor
Hollowbend,Thornfire Peak,Zephyrnothor
Ironroot,Stormclaw,Maelothis
Crestfall,Darkstone Peak,Valthornrionis
Oakridge,Ironwatch Summit,Ithilorn
Darkwood,Razorcliff,Galadoris
Icewatch,Redveil Summit,Valarindor
Mooncrest,Windshear Summit,Aelindrionis
Silverwind,Ironforge Mountain,Korathor
Harrowgate,Bloodstone Ridge,Sylvanor
Shadowhaven,Emberfall Mountain,Litharion
Fireveil,Frosthelm Mountain,Elrathor
Starcrest,Darkstone Mountain,Eldrathionis
Thornvale,Bloodfire Peak,Arendornis
Pearlwood,Sunstone Peak,Talornithor
Ironwood,Windhelm,Mistralis
Ashvale,Starforge Peak,Zandorin
Hearthglen,Cloudveil Peak,Arlandris
Thundermark,Windfall Ridge,Illyndar
Uplands,Stoneforge Mountain,Vaelthornis
Larkfall,Skycrest,Kythoria
Ironreach,Sunwatch Mountain,Kaeltharion
Windglen,Thornfall Peak,Vaelandorwyn
Pinevale,Emberfire Summit,Mordrathor
Ironhold,Glimmercliff,Thrandris
Silverfall,Skyreach Peak,Aerindor
Kindling,Moonspire,Nythrion
Sunvale,Frostwatch,Vaelendris
Brightglen,Ironfall Ridge,Varynoth
Silverforge,Frostcliff,Kaelthar
Starvale,Frostclaw Ridge,Valynithor
Glimmerstone,Thundermount,Drakelion
Windwhisper,Cloudclaw,Eryndar
Miststone,Silverpeak,Eldoralynor
Dreadbrook,Ironstone Peak,Nytherindorithis
Pinewatch,Nightclaw,Eldarion
Stormvale,Starspire Peak,Thrandorin
Shadowglen,Thornspire Ridge,Vorathis
Osprey's Perch,Thornstone,Galendornithis
Frosthaven,Bloodspire,Thalorwyn
Moonspire,Frostspire Ridge,Kaeldor
Frostwatch,Shadowveil Summit,Galendriel
Kingsford,Ashenspire,Maladoris
Aetherwatch,Firewatch Peak,Elandor
Firestone,Venomcliff,Korindor
Ivorymere,Ironfire Ridge,Aerithor
Ashbrook,Flamecliff,Azaroth
Wraithfell,Fireveil Ridge,Aerisyn
Ravenpeak,Thornwatch Summit,Sylrathor
Lumina,Darkclaw Peak,Azaloria
Silverpeak,Thunderwatch Peak,Vaenoris
Duskwind,Thornwatch Ridge,Mordorynith
Ravenwood,Bloodwatch Summit,Aelthoria
Cinderbrook,Shadewatch,Zyndor
Amberwood,Windshear Peak,Valindorithis
Umberhaven,Icewatch Ridge,Vyrnaris
Quagmire,Starwatch Summit,Thronaris
Viper's Den,Nightveil Peak,Valandor
Thundervale,Emberhelm,Valindor
Oakhurst,Blightspire,Thaloriax
Oakenshield,Stormclaw Mountain,Talendorn
Nighthaven,Sunspire Summit,Vaelornithar
Stormglen,Emberfire Peak,Vaelandor
Kingsreach,Howling Ridge,Malethor
Shadowstone,Moonveil,Myrindor
Silverstone,Thunderpeak,Tyloris
Thornhold,Grimveil Mountain,Zylthorn
Frostforge,Dragonscale Peak,Zandoria
Brightwatch,Duskwatch,Maldarion
Redstone,Ashmount,Mordortharindor
Lonesome Hollow,Skullspire,Eltharion
Ashenhold,Ironfall Mountain,Eldrasis
Ashglen,Frostreach,Valandris
Emberbrook,Bitterpeak,Anduriel
Yewwood,Sunclaw,Wyndorin
Nighthollow,Redclaw Peak,Tynalor
Frostglen,Emberfire Mountain,Talorindor
Windvale,Thornspire Peak,Sylvarindris
Stormbrook,Crystalspire,Galenorithis
Raven's Nest,Ashveil Ridge,Ethalyn
Shadewatch,Stormveil Ridge,Mordothar
Kaelthar,Froststone,Zephyrion
Ironspire,Emberwatch Ridge,Valadorn
Silverwatch,Starwatch Peak,Kryndor
Dawnwood,Thornspire Summit,Arlandriaxis
Moonwatch,Windshadow Peak,Galendornaxis
Crystalhaven,Cloudwatch Peak,Valthorion
Bloodstone,Firestone Mountain,Lothendor
Crystalcrest,Darkspire,Xylaris
Prowler's Roost,Ironfang Peak,Kaelor
Moonveil,Shadowmount,Maeloria
Duskwatch,Sunpeak,Drakarith
Ravenhold,Starveil Ridge,Thaloria
Sunbrook,Ironspire Ridge,Etharindor
Stormwatch,Mistyspire,Galenaris
Ironforge,Winterspire,Kryndorinoth
Emberhold,Frostveil Mountain,Drakorisyn
Wyrmwood,Stormveil Mountain,Astralyn
Frostreach,Thunderstone Mountain,Mordralis
Deepwood,Windspire Summit,Brindoria
Stormstone,Emberfall Ridge,Arandorothis
Wyrmrest,Ironstone Mountain,Thalithis
Firewatch,Windfall Peak,Nytherindorwyn
Starbrook,Thornspire,Maldorwyn
Crystalspire,Sunspear Summit,Sylvarindor
Frostfall,Mistveil Ridge,Drakoriax
Ravenfall,Shadowpeak,Grimnar
Stormreach,Ashpeak,Zephirion
Froststone,Dreadspire,Xylandris
Ashwatch,Whitepeak,Eldorion
Quagmire Bay,Thunderclaw,Xyndaris
Luminous Bay,Bloodstone Peak,Vaenor
Faewood,Emberwatch Mountain,Zylothornis
Netherfield,Stormwatch Peak,Lithoria
Darkspire,Hollowspire,Drakenor
Netherwood,Frostfall Heights,Valarion
Eldenmoor,Ravenspire,Sylvarnothornis
Thunderhelm,Ironhelm,Altharion
Sunpeak,Thornfall Summit,Nythisar
Silverbloom,Starcliff,Thalorn
Frostfire,Windwatch Mountain,Illyndorwyn
Sunreach,Sunfire Mountain,Ardorin
Thornspire,Frostvein Mountain,Zephyoris
Blackthorn,Mistveil Summit,Mordrindorith
Silverbrook,Thunderfury,Aeladorn
Windbrook,Ironwatch Ridge,Drakenornis
Underbough,Flamecrag,Mordrathis
Dreadspire,Windspire Ridge,Valynor
Ironhill,Mistfall Summit,Sylvanorithis
Eldenwood,Frostwatch Mountain,Galendoris
Brimstone,Bloodspike,Zephyraxis
Quicksilver Cove,Frostveil Ridge,Vaelthornrion
Nightshade,Grimcliff,Thaeloris
Ravenvale,Crystalpeak,Aelindor
Willowbark,Ironcliff,Illynis
Ironscar,Howlingspire,Eldathor
Hollowshade,Shadowcliff,Nythisis
Mistyvale,Emberclaw Mountain,Sylvandor
Fernvale,Ashcliff,Xandorwyn
Briarthorn,Blackstone Peak,Illyndras
Mistwood,Emberpeak,Vaerithor
Mistfall,Windclaw Summit,Bryndoria
Windfall,Sunfire Peak,Thalandor
Stormforge,Emberstone Mountain,Eldraloris
Pinehill,Sunspire Ridge,Brynthornis
Oakshadow,Ironclaw,Wynaris
Shadowwatch,Thornwatch Peak,Lythoria
Fallowdeep,Embercliff Peak,Arionis
Quietwood,Moonshadow Peak,Mordrion
Brightveil,Windhowl Ridge,Thrandornor
Nightcrest,Flamepeak,Myrador
Eldorhaven,Thunderspire,Andarion
Ravenforge,Frostcliff Peak,Zandorwyn
Duskmire,Stormcrest,Silvaris
Emberglow,Frostfall Ridge,Volarion
Firehold,Duskmist Peak,Xylarindoraxis
Nightfall,Shadowstone Mountain,Thaelorn
Darkwater,Thornfall Ridge,Tyndarion
Elderspring,Ironwatch,Thalorisyn
Quillhaven,Emberveil Peak,Sildaris
Gloomvale,Nightfire Summit,Nytherionis
Ashstone,Frostwatch Summit,Aelarion
Crystalpeak,Starfall Peak,Drakoriaxyn
Ironcliff,Crystalwatch,Xyladorisyn
Oakenvale,Windfire Peak,Brynador
Juniper Vale,Thundercliff,Calavorn
Mistglen,Shadowspire Mountain,Vaelothar
Aethervale,Ashencliff,Vaeloria
Ravenveil,Ironhelm Summit,Thrandorindor
Emberpeak,Sunspire Peak,Valdoria
Juniper Bend,Ironfire Summit,Itharis
Vespergate,Icefang Ridge,Azaryndor
Tanglewood,Direpeak,Kaeloria
Glimmerveil,Shadowfire Summit,Mytharia
Cinderscar,Starfall Mountain,Wynarion
Moonhold,Shatteredspike,Galendorn
Frostbloom,Windspire Peak,Kryndorwyn
Quicksand,Windfire Summit,Kryndornithis
Thunderspire,Starwatch Mountain,Valindornor
Silvervale,Cloudspire,Estorwyn
Thunderglen,Bloodwatch Mountain,Kaelthorin
Stormcrest,Grimwatch,Kryndarothis
Frostbrook,Starcrest Summit,Thalindris
Verdant Reach,Bloodfire Ridge,Lytherion
Crystalglow,Ironfire Peak,Xynthor
Briarstone,Bloodstone Mountain,Eldrathorix
Ironwatch,Icefire Peak,Eldoria
Ashenvale,Emberreach,Braxis
Windwood,Thornwatch Mountain,Valadornithor
Juniper Heights,Steelspire,Sylvarnoth
Mistral Heights,Windfall Summit,Mordornis
Underveil,Thornfire Mountain,Vorathor
Windmere,Thunderforge,Veralor
Oakhaven,Frostfire Ridge,Zylorthis
Hightower,Windfire Ridge,Nytherisyn
Silverhold,Frosthelm Peak,Sylvoria
Silverveil,Shadowspire,Vaenorionis
Thornwood,Suncliff,Zalandris
Sunstone,Nightwatch Peak,Soltharion
Crystalwatch,Thornfire Summit,Zalthoria
Silvershadow,Fireclaw,Drakenora
Crystalstone,Fireveil Summit,Eldrathornis
Nightbrook,Windspire Mountain,Vaelornis
Grimreach,Ironhorn,Sylvarind
Shadowvale,Bloodfire Summit,Sylthora
Ravencrest,Frostfire Peak,Nylothar
Icebloom,Emberclaw Ridge,Valyria
Nightwatch,Windsong Summit,Eldorwyn
Suncrest,Frostfire Mountain,Valthoria
Brightfall,Shadewatch Peak,Marendorn
Azurewood,Ironcrest,Aerithis
Netherbrook,Stormveil,Mordarion
Blackwood,Bloodspire Mountain,Zyrionis
Cloudspire,Starfall Summit,Syltharis
Grimwatch,Bloodclaw Mountain,Drakelorn
Upland Falls,Emberwatch,Feylaris
Driftwood,Starfire Mountain,Vaeltharion
Ashenpeak,Frostwatch Ridge,Zynthorion
Vesperwood,Windcliff,Illyndor
Ironspring,Thornspike,Valtoria
Kingfisher,Windveil Ridge,Vorathorn
